training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5336,0,1.3597,0
1,0,0.2906,0,2.2431,0
2,0,0.2662,0,2.6994,0
3,0,0.1745,0,2.4772,0
4,0,0.1809,0,2.2892,0
