training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.0300,0,2.3596,0
1,0,0.0650,0,2.3241,0
2,0,0.0800,0,2.3952,0
3,0,0.1100,0,2.3335,0
4,0,0.1500,0,2.3246,0
